hour,traffic
0,3644
0.1,1417
0.2,891
0.3,1134
0.4,1145
0.5,788
1,999
1.1,855
1.2,722
1.3,906
1.4,803
1.5,1068
2,1249
2.1,1401
2.2,1298
2.3,1530
2.4,1151
2.5,1357
3,1554
3.1,1018
3.2,1001
3.3,1301
3.4,1323
3.5,1247
4,1758
4.1,1345
4.2,1260
4.3,1367
4.4,1216
4.5,1406
5,2017
5.1,1980
5.2,1670
5.3,2901
5.4,2829
5.5,2618
6,3719
6.1,3660
6.2,3529
6.3,4741
6.4,4187
6.5,3866
7,5882
7.1,6907
7.2,4627
7.3,6395
7.4,5779
7.5,5057
8,6894
8.1,5172
8.2,4410
8.3,7054
8.4,5983
8.5,5193
9,6940
9.1,5315
9.2,4652
9.3,6419
9.4,5637
9.5,4994
10,5804
10.1,4352
10.2,5156
10.3,6309
10.4,5675
10.5,5547
11,6844
11.1,5734
11.2,5676
11.3,5823
11.4,5253
11.5,5575
12,6704
12.1,5688
12.2,3870
12.3,6302
12.4,3654
12.5,4572
13,6260
13.1,4070
13.2,6085
13.3,6498
13.4,4744
13.5,5362
14,5540
14.1,7406
14.2,10463
14.3,7614
14.4,9398
14.5,9066
15,8320
15.1,9906
15.2,7770
15.3,9176
15.4,10525
15.5,6778
16,8872
16.1,8351
16.2,4284
16.3,8615
16.4,5732
16.5,6076
17,8574
17.1,5251
17.2,6553
17.3,7794
17.4,4772
17.5,7731
18,4998
18.1,5688
18.2,10158
18.3,5599
18.4,8895
18.5,10165
19,5995
19.1,8974
19.2,6264
19.3,6608
19.4,8099
19.5,4028
20,7540
20.1,5939
20.2,3035
20.3,4933
20.4,2647
20.5,3042
21,5080
21.1,2878
21.2,3685
21.3,4673
21.4,2539
21.5,4721
22,3495
22.1,3374
22.2,6856
22.3,3687
22.4,5121
22.5,5851
23,3096
23.1,5227
23.2,3251
23.3,3211
23.4,5129
23.5,2355